Age	CAT01	CAT03	CAT04A	CAT05B	CAT06	CAT07	CAT08A	CAT09C	CAT10	CAT11	CAT12	CAT13	CAT14B	CAT15	CAT16	CAT17	CAT18	CAT19	CAT20	CAT21	CAT120B	CAT1226	CAT1228	CAT1230	CAT1613	CAT1626	CAT1850	CAT2013	CAT2137	CAT2145	Mean	Median	TSD	Mean	MAI																			
56.000	24.782	27.970	37.990	25.607	29.419	35.481	38.552	34.216	26.078	26.518	28.342	26.576	28.868	32.105	40.077	36.181	30.607	27.898	23.354	33.711	30.365	31.551	35.263	22.643	25.003	30.818	20.019	20.224	23.520	37.276	29.767	29.892	25.614	0.47784	0.45740																			
57.000	25.193	28.774	39.049	26.135	30.080	35.886	39.396	34.395	26.568	26.713	28.512	27.408	29.393	32.988	40.458	37.122	30.712	28.459	23.632	34.177	31.027	31.775	36.270	23.018	25.276	30.980	20.471	20.589	23.987	38.220	30.280	30.396	26.086	0.47128	0.45764																			
58.000	25.775	28.979	39.982	26.639	30.667	36.062	41.005	35.354	27.295	27.564	28.720	27.948	29.915	33.373	40.946	37.845	31.274	28.844	23.815	34.553	31.586	32.674	37.549	23.291	25.742	31.183	20.503	20.955	24.454	38.614	30.820	30.925	26.711	0.62536	0.46053																			
59.000	26.001	29.602	40.454	27.389	31.298	36.714	42.172	36.082	27.516	27.754	28.895	28.556	30.439	33.887	41.627	38.445	31.603	29.361	24.167	35.295	32.512	32.688	38.083	23.880	25.940	31.456	21.121	21.319	24.893	38.864	31.313	31.377	27.205	0.49381	0.46110																			
60.000	26.223	29.969	40.859	27.928	31.895	37.037	42.605	37.090	28.063	28.401	29.116	28.974	30.966	34.691	41.852	38.893	32.633	30.167	24.370	35.931	33.352	32.988	38.663	24.175	26.397	31.784	21.739	21.689	25.777	39.049	31.819	31.840	27.682	0.47735	0.46137																			
61.000	26.457	30.429	41.342	28.512	32.208	37.426	42.854	37.886	28.439	28.587	29.349	29.523	31.489	35.517	42.283	39.644	33.483	30.486	24.964	37.135	34.120	33.562	39.550	24.913	26.997	32.025	23.379	22.056	26.438	39.677	32.388	32.116	28.128	0.44590	0.46111																			
62.000	26.934	30.808	41.672	28.988	32.773	38.033	43.222	38.770	29.136	28.819	29.605	29.785	32.008	35.746	42.765	40.247	34.113	30.638	25.463	38.048	34.581	34.350	40.799	25.070	27.163	32.048	24.145	22.430	27.007	40.366	32.883	32.410	28.576	0.44839	0.46091																			
63.000	27.454	31.764	42.675	29.408	33.207	38.252	43.994	39.031	29.428	29.034	29.740	30.636	32.525	36.500	43.061	40.969	34.674	31.066	26.119	38.288	35.000	35.321	41.223	25.334	27.550	32.108	24.294	22.802	27.285	40.892	33.342	32.658	29.008	0.43132	0.46044																			
64.000	28.386	32.585	43.730	29.653	33.799	38.463	44.870	39.833	30.080	29.363	30.027	31.404	33.045	37.033	43.443	41.195	35.327	31.600	26.468	39.030	35.320	35.544	41.805	25.591	27.881	32.819	24.315	23.180	27.720	41.378	33.847	33.309	29.423	0.41570	0.45974																			
65.000	29.008	32.878	44.574	30.747	34.334	38.713	45.484	40.142	30.416	29.805	30.313	31.591	33.560	37.672	43.822	41.485	35.588	31.714	26.702	39.806	35.712	35.772	43.106	26.107	28.097	32.849	24.341	23.556	28.190	42.083	34.280	33.606	29.875	0.45171	0.45962																			
66.000	29.408	33.410	45.188	31.456	35.337	38.930	45.927	40.655	31.199	30.247	30.529	32.172	34.075	38.149	44.057	42.685	35.887	31.798	27.364	40.674	36.765	35.832	43.685	26.561	28.243	33.022	25.504	23.928	28.698	43.022	34.831	34.214	30.345	0.46983	0.45977																			
67.000	30.298	34.184	45.684	31.950	36.094	39.397	46.475	41.141	31.886	30.684	30.711	32.684	34.587	39.168	44.548	43.658	36.147	31.902	27.795	41.125	38.115	36.155	44.323	26.619	28.274	33.216	26.741	24.302	29.178	43.522	35.408	35.006	30.853	0.50845	0.46050																			
68.000	30.718	34.583	46.548	32.376	36.376	39.692	47.077	41.953	32.394	31.040	30.934	32.805	35.100	39.875	44.927	43.903	36.315	32.216	28.004	41.391	38.390	37.288	45.410	26.800	28.610	33.372	27.730	24.674	29.664	44.528	35.863	35.286	31.377	0.52312	0.46142																			
69.000	31.108	34.882	47.283	32.743	37.079	39.855	47.743	42.855	32.665	31.204	31.362	33.006	35.610	40.164	45.462	44.702	36.618	32.606	28.435	41.780	39.130	38.103	46.480	27.098	28.978	33.571	28.680	25.056	30.153	45.511	36.350	35.522	31.848	0.47176	0.46157																			
70.000	31.656	35.127	47.481	33.260	38.018	40.098	48.176	43.264	33.093	31.597	31.799	33.357	36.118	40.687	45.926	45.639	36.777	32.759	28.744	42.411	39.892	39.260	46.956	27.662	29.080	34.143	29.102	25.434	31.612	46.057	36.842	35.770	32.360	0.51182	0.46229																			
71.000	32.017	35.383	48.289	33.543	38.535	40.376	48.691	43.881	33.357	31.976	32.411	33.657	36.629	41.133	46.241	46.125	37.102	33.303	28.945	42.864	40.813	40.688	48.145	28.098	29.520	34.229	29.172	25.807	32.454	46.659	37.325	36.139	32.865	0.50481	0.46289																			
72.000	32.207	35.838	49.484	33.924	38.741	40.980	49.642	44.324	33.978	32.222	32.879	34.039	37.138	41.854	46.531	46.592	37.363	33.596	29.286	43.482	41.029	41.292	48.912	28.261	29.979	34.256	29.390	26.175	33.100	47.508	37.773	36.479	33.362	0.49675	0.46336																			
73.000	32.464	36.547	50.363	34.672	39.031	41.504	50.070	44.763	34.531	32.412	33.304	34.392	37.641	42.414	46.936	47.258	37.631	34.181	30.192	44.094	41.345	41.970	49.066	28.903	30.696	34.534	29.702	26.540	33.944	48.452	38.277	36.986	33.864	0.50266	0.46390																			
74.000	32.961	36.958	50.797	34.938	39.605		51.495	45.646	35.011	33.005	33.626	34.628	38.141	42.965	47.179	47.838	37.917	34.926	30.589	44.417	41.739	42.353	50.021	29.400	30.740	35.402	29.960	26.900	34.575	49.219	38.681	36.958	34.415	0.55046	0.46506																			
75.000	33.726	37.560	51.786	35.195	40.248		52.191	46.103	35.499	33.409	33.996	34.906	38.640	43.264	47.371	48.362	38.478	35.582	31.383	44.793	42.347	42.518	50.456	30.200	31.377	35.889	30.078	27.257	35.277	49.995	39.202	37.560	34.973	0.55853	0.46631																			
76.000	34.377	37.779	51.991	35.480	40.992		53.032	46.654	35.932	33.703	34.222	35.477	39.136	43.554	47.939	49.015	38.882	36.124	31.848	45.454	42.678	42.538	51.025	30.321	31.864	36.789	30.110	27.612	35.528	50.781	39.632	37.779	35.536	0.56258	0.46758																			
77.000	34.947	38.189	52.611	35.917	41.458		53.356	47.606	36.550	33.942	34.366	35.771	39.630	44.614	48.251	50.036	39.340	36.487	32.739	45.692	42.772	42.885	51.533	30.438	32.272	38.071	30.509	27.970	35.976	51.259	40.111	38.189	36.093	0.55759	0.46875																			
78.000	35.414	38.671	53.950	36.249	42.115		53.661	48.259	36.805	34.118	34.569	36.012	40.126	45.565	48.765	51.078	39.598	37.142	32.954	46.728	43.055	43.439	52.617	30.738	32.546	38.742	30.919	28.326	36.204	51.716	40.607	38.742	36.601	0.50715	0.46924																			
79.000	35.601	39.384	54.787	36.795	42.568		54.374	48.703	37.063	34.513	34.733	36.152	40.624	46.433	49.711	51.411	39.904	37.515	33.129	47.577	44.076	43.874	53.801	31.322	32.603	39.149	31.455	28.679	36.544	52.574	41.136	39.384	37.145	0.54433	0.47019																			
80.000	36.037	40.123	55.597	37.802	43.135		55.034	49.019	37.405	34.792	34.979	37.154	41.119	46.634	50.143	52.082	40.409	37.565	33.372	48.385	44.989	44.712	54.870	31.534	32.877	39.551	31.552	29.030	36.850	53.317	41.660	40.123	37.677	0.53227	0.47097																			
81.000	36.352	40.705	56.116	38.576	43.904		55.542	49.263	37.868	35.239	35.150	37.619	41.610	46.968	50.616	52.408	41.068	37.891	33.801	48.941	45.141	45.544	55.390	31.844	33.314	39.785	31.851	29.388	37.387	53.912	42.108	40.705	38.240	0.56290	0.47210																			
82.000	37.118	41.103	56.782	39.215	44.828		56.019	49.570	38.230	35.525	35.300	37.788	42.098	47.696	51.549	52.991	41.393	38.455	34.087	49.794	45.660	45.544	56.584	32.084	33.348	40.113	31.893	29.746	38.002	54.735	42.578	41.103	38.699	0.45842	0.47193																			
83.000	37.542	42.105	57.527	39.590	45.631		56.250	49.875	38.933	35.731	35.473	38.569	42.586	48.262	52.109	53.389	41.786	39.233	34.327	50.553	45.966		56.841	32.668	33.718	40.582	32.374	30.102	38.254	56.019	43.020	41.184	39.203	0.50467	0.47233																			
